city,venue,dates,gender,match_type,result,team1,team2,outcome.winner,outcome.runs,outcome.wickets,outcome.method,toss.winner,toss.decision,player_of_match,
63,Dublin,Malahide,5/19/2017,male,ODI,,Ireland,Bangladesh,Bangladesh,0,8,,Bangladesh,field,Mustafizur Rahman
64,Dublin,Malahide,5/21/2017,male,ODI,,Ireland,New Zealand,New Zealand,190,0,,Ireland,field,TWM Latham
65,Dublin,Clontarf Cricket Club Ground,5/24/2017,male,ODI,,Bangladesh,New Zealand,Bangladesh,0,5,,Bangladesh,field,Mushfiqur Rahim
66,Pune,Maharashtra Cricket Association Stadium,1/15/2017,male,ODI,,India,England,India,0,3,,India,field,KM Jadhav
67,Cuttack,Barabati Stadium,1/19/2017,male,ODI,,India,England,India,15,0,,England,field,Yuvraj Singh
68,Kolkata,Eden Gardens,1/22/2017,male,ODI,,India,England,England,5,0,,India,field,BA Stokes
69,Greater Noida,Greater Noida Sports Complex Ground,3/15/2017,male,ODI,,Afghanistan,Ireland,Afghanistan,30,0,,Afghanistan,bat,WTS Porterfield
70,Greater Noida,Greater Noida Sports Complex Ground,3/17/2017,male,ODI,,Afghanistan,Ireland,Afghanistan,34,0,,Afghanistan,bat,PR Stirling
71,Greater Noida,Greater Noida Sports Complex Ground,3/19/2017,male,ODI,,Afghanistan,Ireland,Ireland,0,6,,Afghanistan,bat,PR Stirling
72,Greater Noida,Greater Noida Sports Complex Ground,3/22/2017,male,ODI,,Afghanistan,Ireland,Ireland,0,3,,Afghanistan,bat,KJ O'Brien
73,Greater Noida,Greater Noida Sports Complex Ground,3/24/2017,male,ODI,,Afghanistan,Ireland,Afghanistan,0,7,,Ireland,bat,Rahmat Shah
74,,Sharjah Cricket Stadium,9/30/2016,male,ODI,,Pakistan,West Indies,Pakistan,111,0,,West Indies,field,Babar Azam
75,,Sharjah Cricket Stadium,10/2/2016,male,ODI,,Pakistan,West Indies,Pakistan,59,0,,Pakistan,bat,Babar Azam
76,Abu Dhabi,Sheikh Zayed Stadium,10/5/2016,male,ODI,,Pakistan,West Indies,Pakistan,136,0,,Pakistan,bat,Babar Azam
77,Mirpur,Shere Bangla National Stadium,9/25/2016,male,ODI,,Bangladesh,Afghanistan,Bangladesh,7,0,,Bangladesh,bat,Shakib Al Hasan
78,Mirpur,Shere Bangla National Stadium,9/28/2016,male,ODI,,Bangladesh,Afghanistan,Afghanistan,0,2,,Afghanistan,field,Mohammad Nabi
79,Mirpur,Shere Bangla National Stadium,10/1/2016,male,ODI,,Bangladesh,Afghanistan,Bangladesh,141,0,,Bangladesh,bat,Tamim Iqbal
80,,Harare Sports Club,11/14/2016,male,ODI,,Zimbabwe,Sri Lanka,Sri Lanka,0,8,,Sri Lanka,field,DM de Silva
81,,Harare Sports Club,11/16/2016,male,ODI,,Sri Lanka,West Indies,West Indies,62,0,,Sri Lanka,field,JO Holder
82,Bulawayo,Queens Sports Club,11/19/2016,male,ODI,,Zimbabwe,West Indies,No Result,0,0,,Zimbabwe,bat,SD Hope
83,Bulawayo,Queens Sports Club,11/21/2016,male,ODI,,Zimbabwe,Sri Lanka,No Result,0,0,,Zimbabwe,bat,
84,Bulawayo,Queens Sports Club,11/23/2016,male,ODI,,Sri Lanka,West Indies,Sri Lanka,1,0,,West Indies,field,BKG Mendis
85,Bulawayo,Queens Sports Club,11/25/2016,male,ODI,,Zimbabwe,West Indies,Zimbabwe,5,0,,Zimbabwe,bat,TS Chisoro
86,Bulawayo,Queens Sports Club,11/27/2016,male,ODI,,Zimbabwe,Sri Lanka,Sri Lanka,0,6,,Zimbabwe,bat,BKG Mendis
87,Abu Dhabi,Sheikh Zayed Stadium,4/2/2017,male,ODI,,United Arab Emirates,Papua New Guinea,Papua New Guinea,26,0,,Papua New Guinea,bat,
88,Guyana,Providence Stadium,4/7/2017,male,ODI,,West Indies,Pakistan,West Indies,0,4,,West Indies,field,JN Mohammed
89,Guyana,Providence Stadium,4/9/2017,male,ODI,,West Indies,Pakistan,Pakistan,74,0,,West Indies,field,Babar Azam
90,Guyana,Providence Stadium,4/11/2017,male,ODI,,West Indies,Pakistan,Pakistan,0,6,,West Indies,bat,Shoaib Malik
91,Abu Dhabi,Sheikh Zayed Stadium,1/22/2017,male,ODI,,Hong Kong,Scotland,Hong Kong,0,7,,Hong Kong,field,Babar Hayat
92,,Dubai International Cricket Stadium,1/24/2017,male,ODI,,United Arab Emirates,Scotland,United Arab Emirates,0,4,,Scotland,bat,Adnan Mufti
93,,Dubai International Cricket Stadium,1/26/2017,male,ODI,,United Arab Emirates,Hong Kong,United Arab Emirates,0,6,,United Arab Emirates,field,Imran Haider
94,,Harare Sports Club,2/16/2017,male,ODI,,Zimbabwe,Afghanistan,Afghanistan,12,0,,Afghanistan,bat,Asghar Stanikzai
95,,Harare Sports Club,2/19/2017,male,ODI,,Zimbabwe,Afghanistan,Afghanistan,54,0,,Afghanistan,bat,Rashid Khan
96,,Harare Sports Club,2/21/2017,male,ODI,,Zimbabwe,Afghanistan,Zimbabwe,3,0,,Zimbabwe,bat,TL Chatara
97,,Harare Sports Club,2/24/2017,male,ODI,,Zimbabwe,Afghanistan,Zimbabwe,0,7,,Afghanistan,bat,CB Mpofu
98,,Harare Sports Club,2/26/2017,male,ODI,,Zimbabwe,Afghanistan,Afghanistan,106,0,,Afghanistan,bat,Rahmat Shah
99,Dubai,ICC Global Cricket Academy,3/2/2017,male,ODI,,United Arab Emirates,Ireland,Ireland,85,0,,United Arab Emirates,field,WTS Porterfield
100,Dubai,ICC Global Cricket Academy,3/4/2017,male,ODI,,United Arab Emirates,Ireland,Ireland,0,8,,United Arab Emirates,bat,WTS Porterfield
101,,Rangiri Dambulla International Stadium,3/25/2017,male,ODI,,Sri Lanka,Bangladesh,Bangladesh,90,0,,Sri Lanka,field,Tamim Iqbal
102,,Rangiri Dambulla International Stadium,3/28/2017,male,ODI,,Sri Lanka,Bangladesh,No Result,0,0,,Sri Lanka,bat,
103,Colombo,Sinhalese Sports Club Ground,4/1/2017,male,ODI,,Sri Lanka,Bangladesh,Sri Lanka,70,0,,Bangladesh,field,NLTC Perera
104,Abu Dhabi,Sheikh Zayed Stadium,4/4/2017,male,ODI,,United Arab Emirates,Papua New Guinea,United Arab Emirates,103,0,,United Arab Emirates,bat,
105,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",6/15/2017,male,ODI,,Scotland,Zimbabwe,Scotland,26,0,,Scotland,bat,
106,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",6/17/2017,male,ODI,,Scotland,Zimbabwe,Zimbabwe,0,6,,Scotland,bat,
107,St Lucia,"Darren Sammy National Cricket Stadium, Gros Islet",6/9/2017,male,ODI,,West Indies,Afghanistan,Afghanistan,63,0,,Afghanistan,bat,Rashid Khan
108,St Lucia,"Darren Sammy National Cricket Stadium, Gros Islet",6/11/2017,male,ODI,,West Indies,Afghanistan,West Indies,0,4,,Afghanistan,bat,SD Hope
109,Trinidad,"Queen's Park Oval, Port of Spain",6/23/2017,male,ODI,,West Indies,India,No Result,0,0,,West Indies,field,
110,Trinidad,"Queen's Park Oval, Port of Spain",6/25/2017,male,ODI,,West Indies,India,India,105,0,,West Indies,field,AM Rahane
111,Antigua,"Sir Vivian Richards Stadium, North Sound",6/30/2017,male,ODI,,West Indies,India,India,93,0,,West Indies,field,MS Dhoni
112,Antigua,"Sir Vivian Richards Stadium, North Sound",7/2/2017,male,ODI,,West Indies,India,West Indies,11,0,,West Indies,bat,JO Holder
113,Jamaica,"Sabina Park, Kingston",7/6/2017,male,ODI,,West Indies,India,India,0,8,,West Indies,bat,V Kohli
114,,Galle International Stadium,6/30/2017,male,ODI,,Sri Lanka,Zimbabwe,Zimbabwe,0,6,,Sri Lanka,bat,SF Mire
115,,Galle International Stadium,7/2/2017,male,ODI,,Sri Lanka,Zimbabwe,Sri Lanka,0,7,,Sri Lanka,field,PADLR Sandakan
116,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",7/6/2017,male,ODI,,Sri Lanka,Zimbabwe,Sri Lanka,0,8,,Sri Lanka,field,MD Gunathilaka
117,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",7/8/2017,male,ODI,,Sri Lanka,Zimbabwe,Zimbabwe,0,4,,Sri Lanka,bat,CR Ervine
118,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",7/10/2017,male,ODI,,Sri Lanka,Zimbabwe,Zimbabwe,0,3,,Zimbabwe,field,Sikandar Raza
119,Belfast,"Civil Service Cricket Club, Stormont",6/13/2006,male,ODI,,Ireland,England,England,38,0,,England,bat,ME Trescothick
120,Cardiff,Sophia Gardens,8/30/2006,male,ODI,,England,Pakistan,No Result,0,0,,Pakistan,field,
121,London,Lord's,9/2/2006,male,ODI,,England,Pakistan,Pakistan,0,7,,Pakistan,field,Shoaib Akhtar
122,Southampton,The Rose Bowl,9/5/2006,male,ODI,,England,Pakistan,Pakistan,0,2,,Pakistan,field,Younis Khan
123,Nottingham,Trent Bridge,9/8/2006,male,ODI,,England,Pakistan,England,0,8,,Pakistan,bat,IR Bell
124,Birmingham,Edgbaston,9/10/2006,male,ODI,,England,Pakistan,England,0,3,,England,field,SI Mahmood
125,London,Lord's,6/17/2006,male,ODI,,England,Sri Lanka,Sri Lanka,20,0,,England,field,WU Tharanga
